2.567,5.93,3570,1.0,3612,88,20836,0.25,0.240,100%,0.0,3612.0
2.782,6.88,3319,1.1,3192,74,20837,0.25,0.276,100%,0.0,3192.0
2.610,6.10,3454,1.0,3358,92,20838,0.25,0.257,100%,0.0,3357.6666666666665
2.695,6.48,3455,1.1,3303,83,20839,0.25,0.267,100%,0.0,3303.0
2.581,5.98,3399,1.0,3368,99,20840,0.25,0.256,100%,0.0,3367.6
2.601,6.07,3351,1.0,3268,93,20841,0.25,0.262,100%,0.0,3268.1666666666665
2.703,6.51,3344,1.0,3239,86,20842,0.25,0.271,100%,0.0,3238.714285714286
2.708,6.53,3162,1.1,2849,76,20843,0.25,1.350,100%,0.0,2849.125
2.632,6.20,3208,1.1,2944,87,20844,0.25,1.222,100%,0.0,2943.6666666666665
2.651,6.28,3211,1.1,2928,84,20845,0.25,1.131,100%,0.0,2927.6
2.529,5.77,3126,1.1,2876,122,20846,0.25,1.046,100%,0.0,2875.909090909091
2.569,5.94,3138,1.1,2877,119,20847,0.25,0.982,100%,0.0,2876.9166666666665
2.579,5.97,3135,1.1,2866,122,20848,0.25,0.926,100%,0.0,2865.769230769231
2.608,6.10,3154,1.1,2875,118,20849,0.25,0.882,100%,0.0,2874.714285714286
2.560,5.90,3106,1.1,2802,128,20850,0.25,0.840,100%,0.0,2801.6666666666665
2.574,5.95,3089,1.2,2700,121,20851,0.25,0.822,100%,0.0,2699.75
2.603,6.07,3104,1.2,2713,117,20852,0.25,0.793,100%,0.0,2713.0588235294117
2.611,6.11,3116,1.2,2716,115,20853,0.25,0.765,100%,0.0,2716.1666666666665
2.649,6.27,3135,1.2,2738,112,20854,0.25,0.741,100%,0.0,2738.3684210526317
2.680,6.41,3181,1.2,2771,114,20855,0.25,0.721,100%,0.0,2771.25
2.663,6.33,3220,1.1,2818,115,20856,0.25,0.697,100%,0.0,2818.4761904761904
2.660,6.32,3224,1.2,2818,112,20857,0.25,0.679,100%,0.0,2818.4545454545455
2.667,6.35,3221,1.1,2817,112,20858,0.25,0.661,100%,0.0,2816.782608695652
2.682,6.42,3234,1.1,2830,111,20859,0.25,0.646,100%,0.0,2830.125
2.682,6.42,3222,1.2,2812,114,20860,0.25,0.631,100%,0.0,2812.16
2.690,6.45,3223,1.1,2820,112,20861,0.25,0.618,100%,0.0,2820.230769230769
2.685,6.43,3209,1.2,2796,110,20862,0.25,0.607,100%,0.0,2795.777777777778
2.667,6.35,3242,1.2,2827,116,20863,0.25,0.594,100%,0.0,2827.035714285714
2.637,6.22,3269,1.1,2859,122,20864,0.25,0.580,100%,0.0,2858.7241379310344
2.638,6.22,3225,1.2,2770,118,20865,0.25,0.628,100%,0.0,2769.5666666666666
2.645,6.25,3184,1.2,2686,114,20866,0.25,0.740,100%,0.0,2686.2258064516127
2.640,6.23,3206,1.2,2717,115,20867,0.25,0.725,100%,0.0,2716.9375
2.658,6.31,3173,1.2,2652,111,20868,0.25,0.759,100%,0.0,2651.787878787879
2.631,6.19,3160,1.2,2636,115,20869,0.25,0.744,100%,0.0,2635.735294117647
2.594,6.04,3187,1.2,2670,118,20870,0.25,0.728,100%,0.0,2670.2285714285713
2.592,6.03,3208,1.2,2696,118,20871,0.25,0.714,100%,0.0,2695.972222222222
2.578,5.97,3222,1.2,2718,118,20872,0.25,0.702,100%,0.0,2717.7027027027025
2.580,5.98,3237,1.2,2737,117,20873,0.25,0.691,100%,0.0,2736.8684210526317
2.584,6.00,3237,1.2,2737,116,20874,0.25,0.681,100%,0.0,2736.5897435897436
2.565,5.92,3253,1.2,2758,117,20875,0.25,0.669,100%,0.0,2758.2
2.570,5.94,3256,1.2,2760,119,20876,0.25,0.659,100%,0.0,2759.829268292683
2.553,5.87,3262,1.2,2773,121,20877,0.25,0.648,100%,0.0,2772.8809523809523
2.561,5.90,3262,1.2,2774,120,20878,0.25,0.640,100%,0.0,2774.1162790697676
2.575,5.96,3271,1.2,2785,119,20879,0.25,0.632,100%,0.0,2785.1363636363635
2.586,6.01,3273,1.2,2789,118,20880,0.25,0.624,100%,0.0,2788.5777777777776
2.589,6.02,3263,1.2,2779,118,20881,0.25,0.617,100%,0.0,2779.1521739130435
2.608,6.10,3263,1.2,2783,117,20882,0.25,0.612,100%,0.0,2782.68085106383
2.602,6.07,3275,1.2,2800,117,20883,0.25,0.605,100%,0.0,2799.9375
2.609,6.10,3279,1.2,2807,116,20884,0.25,0.598,100%,0.0,2807.1632653061224
2.610,6.11,3254,1.2,2756,114,20885,0.25,0.631,100%,0.0,2755.76
2.597,6.05,3265,1.2,2773,114,20886,0.25,0.623,100%,0.0,2773.2156862745096
2.612,6.11,3278,1.2,2787,114,20887,0.25,0.618,100%,0.0,2786.6153846153848
2.614,6.12,3294,1.2,2805,115,20888,0.25,0.611,100%,0.0,2805.4528301886794
2.598,6.05,3298,1.2,2813,117,20889,0.25,0.604,100%,0.0,2812.9814814814813
